"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"33427-41597","PF","Johnathan","Johnathan Motley","Motley","8.705882352941176","17","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-9606","SF","Corey","Corey Brewer","Brewer","13.728571210588727","14","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-17542","PF","Alan","Alan Williams","Williams","9.59999974568685","3","3500","DET@BKN","BKN","DET","","","","",""
"33427-58247","PG","Isaiah","Isaiah Whitehead","Whitehead","10.449999809265137","16","3500","DET@BKN","DET","BKN","","","","",""
"33427-66185","PF","Caleb","Caleb Swanigan","Swanigan","5.772222306993273","18","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-95114","SF","Donte","Donte Grantham","Grantham","0","2","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-95117","SF","Deng","Deng Adel","Adel","4.716666539510091","12","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-15757","PF","Terrence","Terrence Jones","Jones","2.9000000953674316","2","3500","CHA@HOU","HOU","CHA","","","","",""
"33427-15758","SF","Michael","Michael Kidd-Gilchrist","Kidd-Gilchrist","16.189091352982956","55","3500","CHA@HOU","CHA","HOU","GTD","Knee","","",""
"33427-66196","SG","PJ","PJ Dozier","Dozier","2.950000047683716","4","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-16790","PG","Brad","Brad Wanamaker","Wanamaker","7.165517346612338","29","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-63127","C","Willy","Willy Hernangomez","Hernangomez","15.672339906083776","47","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-18338","SF","Royce","Royce O'Neale","O'Neale","13.409230393629807","65","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-16293","SF","Norman","Norman Powell","Powell","14.19111056857639","45","3500","TOR@CLE","TOR","CLE","","","","",""
"33427-70820","C","Thon","Thon Maker","Maker","11.359574987533245","47","3500","DET@BKN","DET","BKN","","","","",""
"33427-42662","SF","Troy","Troy Williams","Williams","12.777777777777779","18","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-70823","PF","Guerschon","Guerschon Yabusele","Yabusele","4.927272912227746","33","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-14505","C","Bismack","Bismack Biyombo","Biyombo","13.610526637027139","38","3500","CHA@HOU","CHA","HOU","GTD","Knee","","",""
"33427-14506","PG","Brandon","Brandon Knight","Knight","9.121739263119904","23","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-14510","SG","Alec","Alec Burks","Burks","18.908474162473517","59","3500","SAC@WAS","SAC","WAS","","","","",""
"33427-9647","SF","Thabo","Thabo Sefolosha","Sefolosha","8.528571428571428","35","3500","OKC@UTA","UTA","OKC","","","","",""
"33427-80816","SG","Malik","Malik Monk","Monk","15.16610148801642","59","3500","CHA@HOU","CHA","HOU","","","","",""
"33427-14515","SG","Iman","Iman Shumpert","Shumpert","18.069388253348215","49","3500","CHA@HOU","HOU","CHA","","","","",""
"33427-80820","SG","Terrance","Terrance Ferguson","Ferguson","11.974137931034482","58","3500","OKC@UTA","OKC","UTA","","","","",""
"33427-80823","C","Tony","Tony Bradley","Bradley","2.5999999046325684","1","3500","OKC@UTA","UTA","OKC","GTD","Knee","","",""
"33427-80825","PF","Isaiah","Isaiah Hartenstein","Hartenstein","6.459259033203125","27","3500","CHA@HOU","HOU","CHA","GTD","Achilles","","",""
"33427-15548","SG","Andre","Andre Roberson","Roberson","17.82051282051282","39","3500","OKC@UTA","OKC","UTA","O","Kneecap","","",""
"33427-84668","SF","Troy","Troy Brown Jr.","Brown Jr.","7.758332994249132","36","3500","SAC@WAS","WAS","SAC","","","","",""
"33427-84677","PG","Jerome","Jerome Robinson","Robinson","5.924000244140625","25","3500","BOS@LAC","LAC","BOS","","","","",""
"33427-14539","PF","Jon","Jon Leuer","Leuer","8.777143205915179","35","3500","DET@BKN","DET","BKN","","","","",""
"33427-9677","SF","Jared","Jared Dudley","Dudley","11.793616761552526","47","3500","DET@BKN","BKN","DET","","","","",""
"33427-9678","PF","Channing","Channing Frye","Frye","6.946666463216146","30","3500","TOR@CLE","CLE","TOR","","","","",""
"33427-23248","SG","RJ","RJ Hunter","Hunter","7.3","5","3500","BOS@LAC","BOS","LAC","","","","",""
"33427-101331","SF","Gary","Gary Clark","Clark","9.563414783012576","41","3500","CHA@HOU","HOU","CHA","","","","",""
